SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
183171,0,Revolving loans,F,Y,Y,0,112500.0,225000.0,11250.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-15657,-826,-9507.0,-4025,1.0,1,1,0,1,1,0,Security staff,1.0,2,2,TUESDAY,13,0,0,0,0,0,0,Security,,0.4872339904980922,0.3589512285783967,0.1237,0.1018,0.9767,0.6804,0.0126,0.0,0.2069,0.1667,0.2083,0.0902,0.0958,0.1113,0.0232,0.0218,0.1261,0.1057,0.9767,0.6929,0.0128,0.0,0.2069,0.1667,0.2083,0.0923,0.1047,0.116,0.0233,0.0231,0.1249,0.1018,0.9767,0.6847,0.0127,0.0,0.2069,0.1667,0.2083,0.0918,0.0975,0.1133,0.0233,0.0222,reg oper account,block of flats,0.0992,Panel,No,0.0,0.0,0.0,0.0,-332.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
431930,0,Revolving loans,F,N,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.009334,-15165,-2038,-4267.0,-4298,,1,1,0,1,0,0,Sales staff,2.0,2,2,FRIDAY,14,0,0,0,1,1,0,Business Entity Type 3,,0.6965842989723371,0.646329897706246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1397.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
"399398,0,Cash loans,F,N,Y,1,202500.0,534204.0,32809.5,495000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.010276,-18018,-3038,-8142.0,-1570,,1,1,0,1,0,0,Core staff,2.0,2,2,THURSDAY,16,0,0,0,0,0,0,Government,,0.2488645682685085,,0.0649,0.0254,0.9752,0.66,0.0094,0.0,0.1262,0.1525,0.1875,0.0368,0.0538,0.053,0.0019,0.0149,0.063,0.0059,0.9752,0.6733,0.0093,0.0,0.1379,0.1667,0.1667,0.0345,0.0588,0.0528,0.0,0.0,0.0666,0.0074,0.9752,0.6645,0.0094,0.0,0.1379,0.1667,0.1875,0.0374,0.0547,0.0525,0.0019,0.0,reg oper account,block of flats,0.0404,""Stone, brick"",No,0.0,0.0,0.0,0.0,-1506.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"
"192987,1,Cash loans,M,N,Y,1,67500.0,237204.0,10575.0,198000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-21733,365243,-3887.0,-2639,,1,0,0,1,0,0,,3.0,3,3,THURSDAY,9,0,0,0,0,0,0,XNA,,0.0420867982126218,0.7136313997323308,0.1237,0.0871,0.9831,0.7688,0.0132,0.0,0.069,0.1667,0.2083,0.1066,0.1009,0.0375,0.0,0.1207,0.1261,0.0904,0.9831,0.7779,0.0134,0.0,0.069,0.1667,0.2083,0.1091,0.1102,0.039,0.0,0.1278,0.1249,0.0871,0.9831,0.7719,0.0133,0.0,0.069,0.1667,0.2083,0.1085,0.1026,0.0382,0.0,0.1232,reg oper account,block of flats,0.0557,""Stone, brick"",No,0.0,0.0,0.0,0.0,-2372.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0"
264725,1,Revolving loans,F,N,N,0,112500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.0145199999999999,-7862,-127,-2637.0,-410,,1,1,0,1,0,0,Laborers,1.0,2,2,MONDAY,15,0,0,0,1,1,0,Business Entity Type 1,0.1187601184538992,0.5604690069859866,0.4206109640437848,,,0.9866,,,,,,,,,0.0015,,,,,0.9866,,,,,,,,,0.0016,,,,,0.9866,,,,,,,,,0.0016,,,,block of flats,0.0012,,No,1.0,1.0,1.0,1.0,-300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
"285876,0,Cash loans,F,N,N,1,135000.0,900000.0,26316.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-10189,-1936,-1854.0,-1563,,1,1,1,1,1,0,Laborers,3.0,2,2,TUESDAY,7,0,0,0,0,0,0,Government,0.2709808983541077,0.5066765661877995,0.511891801533151,0.0485,0.1005,0.9796,0.7212,0.0217,0.0,0.069,0.1667,0.2083,0.0762,0.0395,0.0672,0.0,0.0,0.0494,0.1043,0.9796,0.7321,0.0219,0.0,0.069,0.1667,0.2083,0.0779,0.0432,0.0701,0.0,0.0,0.0489,0.1005,0.9796,0.7249,0.0218,0.0,0.069,0.1667,0.2083,0.0775,0.0402,0.0685,0.0,0.0,reg oper account,block of flats,0.0743,""Stone, brick"",No,1.0,0.0,1.0,0.0,-895.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0"
228371,0,Revolving loans,F,N,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008019,-17733,-5095,-1429.0,-1278,,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,Industry: type 6,,0.4991326480048802,0.6986675550534175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,0.0,-2633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
296493,0,Cash loans,M,N,N,0,135000.0,412942.5,43947.0,373500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.018029,-10242,-449,-4557.0,-2911,,1,1,0,1,0,0,,1.0,3,3,TUESDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.1942151121136184,0.5531646987710016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
209508,0,Cash loans,F,Y,N,0,121500.0,296280.0,14251.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-15043,-3658,-7134.0,-4691,10.0,1,1,1,1,0,0,Core staff,2.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,Kindergarten,,0.5962970469356378,0.4812493411434029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-561.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
256055,0,Cash loans,F,N,N,2,90000.0,942300.0,30528.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.031329,-9929,-1767,-4280.0,-953,,1,1,0,1,0,0,Sales staff,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Trade: type 1,0.149603665431541,0.579930664787544,0.6058362647264226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"281105,0,Cash loans,F,Y,Y,0,112500.0,942300.0,30528.0,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0088659999999999,-21959,-2175,-6596.0,-5430,7.0,1,1,0,1,0,0,Core staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,School,0.9142159421137388,0.4468303674746412,0.6380435278721609,0.1175,0.0892,0.9896,,,0.1,0.1379,0.2708,,0.0624,,0.1285,,0.0847,0.0399,0.0608,0.9896,,,0.0,0.1034,0.1667,,0.0397,,0.0446,,0.0669,0.1187,0.0892,0.9896,,,0.1,0.1379,0.2708,,0.0635,,0.1308,,0.0865,,block of flats,0.1923,""Stone, brick"",No,0.0,0.0,0.0,0.0,-1923.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0"
"235787,0,Cash loans,F,N,N,0,135000.0,469152.0,20007.0,405000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.009334,-21160,365243,-4806.0,-4608,,1,0,0,1,1,0,,1.0,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.6144690105798281,0.4489622731076524,0.066,0.0,0.9757,,,0.0,0.1379,0.1667,,0.0509,,0.0511,,0.0509,0.0672,0.0,0.9757,,,0.0,0.1379,0.1667,,0.052,,0.0532,,0.0539,0.0666,0.0,0.9757,,,0.0,0.1379,0.1667,,0.0518,,0.052,,0.052,,block of flats,0.0556,""Stone, brick"",No,0.0,0.0,0.0,0.0,-1772.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0"
362074,0,Cash loans,M,N,Y,0,225000.0,388066.5,30789.0,351000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,-23414,365243,-8033.0,-4233,,1,0,0,1,1,0,,2.0,2,2,SUNDAY,14,0,0,0,0,0,0,XNA,,0.7247900601971602,,0.1062,0.0734,0.9881,0.8368,0.1011,0.12,0.1034,0.3333,0.375,0.0716,0.0866,0.128,,0.0088,0.1082,0.0762,0.9881,0.8432,0.102,0.1208,0.1034,0.3333,0.375,0.0732,0.0946,0.1333,,0.0093,0.1072,0.0734,0.9881,0.8390000000000001,0.1017,0.12,0.1034,0.3333,0.375,0.0728,0.0881,0.1303,,0.009,reg oper account,block of flats,0.1578,Panel,No,8.0,0.0,8.0,0.0,-280.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
415717,0,Cash loans,F,N,Y,0,157500.0,261751.5,24138.0,211500.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.007305,-8067,-165,-6488.0,-611,,1,1,0,1,0,0,Core staff,1.0,3,3,SUNDAY,12,0,0,0,1,1,0,Other,0.1369703674587514,0.5613738103437803,0.7490217048463391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131202,0,Cash loans,F,Y,Y,0,247500.0,414000.0,19431.0,414000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-16226,-7898,-654.0,-2082,2.0,1,1,0,1,0,0,,2.0,2,2,SUNDAY,12,0,0,0,0,0,0,Self-employed,,0.601612786102167,0.4596904504249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-501.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
